cohort	condition_value	condition_label	bin_left_log10	bin_right_log10	count	n_total
dose	0.0	0 µL	2.0	2.0212796391594896	50	7029
dose	0.0	0 µL	2.0212796391594896	2.042559278318979	35	7029
dose	0.0	0 µL	2.042559278318979	2.063838917478469	33	7029
dose	0.0	0 µL	2.063838917478469	2.0851185566379584	49	7029
dose	0.0	0 µL	2.0851185566379584	2.106398195797448	45	7029
dose	0.0	0 µL	2.106398195797448	2.1276778349569376	46	7029
dose	0.0	0 µL	2.1276778349569376	2.1489574741164277	40	7029
dose	0.0	0 µL	2.1489574741164277	2.1702371132759173	35	7029
dose	0.0	0 µL	2.1702371132759173	2.191516752435407	45	7029
dose	0.0	0 µL	2.191516752435407	2.2127963915948965	56	7029
dose	0.0	0 µL	2.2127963915948965	2.234076030754386	47	7029
dose	0.0	0 µL	2.234076030754386	2.2553556699138757	42	7029
dose	0.0	0 µL	2.2553556699138757	2.2766353090733653	51	7029
dose	0.0	0 µL	2.2766353090733653	2.297914948232855	51	7029
dose	0.0	0 µL	2.297914948232855	2.3191945873923445	48	7029
dose	0.0	0 µL	2.3191945873923445	2.340474226551834	62	7029
dose	0.0	0 µL	2.340474226551834	2.3617538657113237	59	7029
dose	0.0	0 µL	2.3617538657113237	2.3830335048708133	44	7029
dose	0.0	0 µL	2.3830335048708133	2.4043131440303034	64	7029
dose	0.0	0 µL	2.4043131440303034	2.425592783189793	68	7029
dose	0.0	0 µL	2.425592783189793	2.4468724223492826	46	7029
dose	0.0	0 µL	2.4468724223492826	2.468152061508772	64	7029
dose	0.0	0 µL	2.468152061508772	2.489431700668262	66	7029
dose	0.0	0 µL	2.489431700668262	2.5107113398277514	62	7029
dose	0.0	0 µL	2.5107113398277514	2.531990978987241	49	7029
dose	0.0	0 µL	2.531990978987241	2.5532706181467306	54	7029
dose	0.0	0 µL	2.5532706181467306	2.5745502573062202	67	7029
dose	0.0	0 µL	2.5745502573062202	2.59582989646571	52	7029
dose	0.0	0 µL	2.59582989646571	2.6171095356251994	67	7029
dose	0.0	0 µL	2.6171095356251994	2.638389174784689	54	7029
dose	0.0	0 µL	2.638389174784689	2.6596688139441786	59	7029
dose	0.0	0 µL	2.6596688139441786	2.6809484531036682	73	7029
dose	0.0	0 µL	2.6809484531036682	2.702228092263158	76	7029
dose	0.0	0 µL	2.702228092263158	2.723507731422648	55	7029
dose	0.0	0 µL	2.723507731422648	2.7447873705821375	57	7029
dose	0.0	0 µL	2.7447873705821375	2.766067009741627	82	7029
dose	0.0	0 µL	2.766067009741627	2.7873466489011167	74	7029
dose	0.0	0 µL	2.7873466489011167	2.8086262880606063	73	7029
dose	0.0	0 µL	2.8086262880606063	2.829905927220096	74	7029
dose	0.0	0 µL	2.829905927220096	2.8511855663795855	71	7029
dose	0.0	0 µL	2.8511855663795855	2.872465205539075	76	7029
dose	0.0	0 µL	2.872465205539075	2.8937448446985647	58	7029
dose	0.0	0 µL	2.8937448446985647	2.9150244838580543	63	7029
dose	0.0	0 µL	2.9150244838580543	2.9363041230175444	59	7029
dose	0.0	0 µL	2.9363041230175444	2.957583762177034	79	7029
dose	0.0	0 µL	2.957583762177034	2.9788634013365236	63	7029
dose	0.0	0 µL	2.9788634013365236	3.000143040496013	65	7029
dose	0.0	0 µL	3.000143040496013	3.021422679655503	61	7029
dose	0.0	0 µL	3.021422679655503	3.0427023188149924	61	7029
dose	0.0	0 µL	3.0427023188149924	3.063981957974482	75	7029
dose	0.0	0 µL	3.063981957974482	3.0852615971339716	60	7029
dose	0.0	0 µL	3.0852615971339716	3.1065412362934612	76	7029
dose	0.0	0 µL	3.1065412362934612	3.127820875452951	62	7029
dose	0.0	0 µL	3.127820875452951	3.1491005146124404	65	7029
dose	0.0	0 µL	3.1491005146124404	3.17038015377193	63	7029
dose	0.0	0 µL	3.17038015377193	3.1916597929314197	57	7029
dose	0.0	0 µL	3.1916597929314197	3.2129394320909093	58	7029
dose	0.0	0 µL	3.2129394320909093	3.234219071250399	55	7029
dose	0.0	0 µL	3.234219071250399	3.2554987104098885	72	7029
dose	0.0	0 µL	3.2554987104098885	3.276778349569378	53	7029
dose	0.0	0 µL	3.276778349569378	3.298057988728868	70	7029
dose	0.0	0 µL	3.298057988728868	3.3193376278883577	59	7029
dose	0.0	0 µL	3.3193376278883577	3.3406172670478473	61	7029
dose	0.0	0 µL	3.3406172670478473	3.361896906207337	65	7029
dose	0.0	0 µL	3.361896906207337	3.3831765453668265	62	7029
dose	0.0	0 µL	3.3831765453668265	3.404456184526316	57	7029
dose	0.0	0 µL	3.404456184526316	3.4257358236858058	64	7029
dose	0.0	0 µL	3.4257358236858058	3.447015462845296	56	7029
dose	0.0	0 µL	3.447015462845296	3.4682951020047854	54	7029
dose	0.0	0 µL	3.4682951020047854	3.489574741164275	64	7029
dose	0.0	0 µL	3.489574741164275	3.5108543803237646	53	7029
dose	0.0	0 µL	3.5108543803237646	3.5321340194832542	47	7029
dose	0.0	0 µL	3.5321340194832542	3.553413658642744	54	7029
dose	0.0	0 µL	3.553413658642744	3.5746932978022334	50	7029
dose	0.0	0 µL	3.5746932978022334	3.595972936961723	50	7029
dose	0.0	0 µL	3.595972936961723	3.6172525761212126	50	7029
dose	0.0	0 µL	3.6172525761212126	3.6385322152807023	54	7029
dose	0.0	0 µL	3.6385322152807023	3.659811854440192	65	7029
dose	0.0	0 µL	3.659811854440192	3.6810914935996815	60	7029
dose	0.0	0 µL	3.6810914935996815	3.702371132759171	58	7029
dose	0.0	0 µL	3.702371132759171	3.7236507719186607	146	7029
dose	0.0	0 µL	3.7236507719186607	3.7449304110781503	152	7029
dose	0.0	0 µL	3.7449304110781503	3.76621005023764	142	7029
dose	0.0	0 µL	3.76621005023764	3.7874896893971295	146	7029
dose	0.0	0 µL	3.7874896893971295	3.808769328556619	179	7029
dose	0.0	0 µL	3.808769328556619	3.8300489677161087	168	7029
dose	0.0	0 µL	3.8300489677161087	3.8513286068755987	170	7029
dose	0.0	0 µL	3.8513286068755987	3.8726082460350884	179	7029
dose	0.0	0 µL	3.8726082460350884	3.893887885194578	159	7029
dose	0.0	0 µL	3.893887885194578	3.9151675243540676	177	7029
dose	0.0	0 µL	3.9151675243540676	3.936447163513557	161	7029
dose	0.0	0 µL	3.936447163513557	3.9577268026730468	124	7029
dose	0.0	0 µL	3.9577268026730468	3.979006441832537	110	7029
dose	0.0	0 µL	3.979006441832537	4.000286080992026	93	7029
dose	0.0	0 µL	4.000286080992026	4.021565720151516	70	7029
dose	0.0	0 µL	4.021565720151516	4.042845359311006	48	7029
dose	0.0	0 µL	4.042845359311006	4.064124998470495	29	7029
dose	0.0	0 µL	4.064124998470495	4.085404637629985	33	7029
dose	0.0	0 µL	4.085404637629985	4.1066842767894745	23	7029
dose	0.0	0 µL	4.1066842767894745	4.127963915948964	13	7029
dose	0.5	0.5 µL	2.0	2.0212796391594896	213	2315
dose	0.5	0.5 µL	2.0212796391594896	2.042559278318979	120	2315
dose	0.5	0.5 µL	2.042559278318979	2.063838917478469	117	2315
dose	0.5	0.5 µL	2.063838917478469	2.0851185566379584	126	2315
dose	0.5	0.5 µL	2.0851185566379584	2.106398195797448	92	2315
dose	0.5	0.5 µL	2.106398195797448	2.1276778349569376	106	2315
dose	0.5	0.5 µL	2.1276778349569376	2.1489574741164277	65	2315
dose	0.5	0.5 µL	2.1489574741164277	2.1702371132759173	83	2315
dose	0.5	0.5 µL	2.1702371132759173	2.191516752435407	73	2315
dose	0.5	0.5 µL	2.191516752435407	2.2127963915948965	75	2315
dose	0.5	0.5 µL	2.2127963915948965	2.234076030754386	54	2315
dose	0.5	0.5 µL	2.234076030754386	2.2553556699138757	60	2315
dose	0.5	0.5 µL	2.2553556699138757	2.2766353090733653	53	2315
dose	0.5	0.5 µL	2.2766353090733653	2.297914948232855	57	2315
dose	0.5	0.5 µL	2.297914948232855	2.3191945873923445	52	2315
dose	0.5	0.5 µL	2.3191945873923445	2.340474226551834	38	2315
dose	0.5	0.5 µL	2.340474226551834	2.3617538657113237	39	2315
dose	0.5	0.5 µL	2.3617538657113237	2.3830335048708133	36	2315
dose	0.5	0.5 µL	2.3830335048708133	2.4043131440303034	44	2315
dose	0.5	0.5 µL	2.4043131440303034	2.425592783189793	36	2315
dose	0.5	0.5 µL	2.425592783189793	2.4468724223492826	28	2315
