dataset	offset_bp	p_in_nuc	denom
m6a_200 sperm	0	0.6000000000000001	184577
m6a_200 sperm	1	0.8	184577
m6a_200 sperm	2	1.0	184577
m6a_200 sperm	3	1.0	184577
m6a_200 sperm	4	1.0	184577
m6a_200 sperm	5	1.0	184577
m6a_200 sperm	6	1.0	184577
m6a_200 sperm	7	1.0	184577
m6a_200 sperm	8	1.0	184577
m6a_200 sperm	9	1.0	184577
m6a_200 sperm	10	1.0	184577
m6a_200 sperm	11	1.0	184577
m6a_200 sperm	12	1.0	184577
m6a_200 sperm	13	1.0	184577
m6a_200 sperm	14	1.0	184577
m6a_200 sperm	15	1.0	184577
m6a_200 sperm	16	1.0	184577
m6a_200 sperm	17	1.0	184577
m6a_200 sperm	18	1.0	184577
m6a_200 sperm	19	1.0	184577
m6a_200 sperm	20	1.0	184577
m6a_200 sperm	21	1.0	184577
m6a_200 sperm	22	1.0	184577
m6a_200 sperm	23	1.0	184577
m6a_200 sperm	24	1.0	184577
m6a_200 sperm	25	1.0	184577
m6a_200 sperm	26	1.0	184577
m6a_200 sperm	27	1.0	184577
m6a_200 sperm	28	1.0	184577
m6a_200 sperm	29	1.0	184577
m6a_200 sperm	30	1.0	184577
m6a_200 sperm	31	1.0	184577
m6a_200 sperm	32	1.0	184577
m6a_200 sperm	33	1.0	184577
m6a_200 sperm	34	1.0	184577
m6a_200 sperm	35	1.0	184577
m6a_200 sperm	36	1.0	184577
m6a_200 sperm	37	1.0	184577
m6a_200 sperm	38	1.0	184577
m6a_200 sperm	39	1.0	184577
m6a_200 sperm	40	1.0	184577
m6a_200 sperm	41	1.0	184577
m6a_200 sperm	42	1.0	184577
m6a_200 sperm	43	1.0	184577
m6a_200 sperm	44	1.0	184577
m6a_200 sperm	45	1.0	184577
m6a_200 sperm	46	1.0	184577
m6a_200 sperm	47	1.0	184577
m6a_200 sperm	48	1.0	184577
m6a_200 sperm	49	1.0	184577
m6a_200 sperm	50	1.0	184577
m6a_200 sperm	51	1.0	184577
m6a_200 sperm	52	1.0	184577
m6a_200 sperm	53	1.0	184577
m6a_200 sperm	54	1.0	184577
m6a_200 sperm	55	1.0	184577
m6a_200 sperm	56	1.0	184577
m6a_200 sperm	57	1.0	184577
m6a_200 sperm	58	1.0	184577
m6a_200 sperm	59	1.0	184577
m6a_200 sperm	60	1.0	184577
m6a_200 sperm	61	1.0	184577
m6a_200 sperm	62	1.0	184577
m6a_200 sperm	63	1.0	184577
m6a_200 sperm	64	1.0	184577
m6a_200 sperm	65	1.0	184577
m6a_200 sperm	66	1.0	184577
m6a_200 sperm	67	1.0	184577
m6a_200 sperm	68	1.0	184577
m6a_200 sperm	69	1.0	184577
m6a_200 sperm	70	1.0	184577
m6a_200 sperm	71	1.0	184577
m6a_200 sperm	72	1.0	184577
m6a_200 sperm	73	1.0	184577
m6a_200 sperm	74	1.0	184577
m6a_200 sperm	75	1.0	184577
m6a_200 sperm	76	1.0	184577
m6a_200 sperm	77	1.0	184577
m6a_200 sperm	78	1.0	184577
m6a_200 sperm	79	1.0	184577
m6a_200 sperm	80	1.0	184577
m6a_200 sperm	81	1.0	184577
m6a_200 sperm	82	1.0	184577
m6a_200 sperm	83	1.0	184577
m6a_200 sperm	84	1.0	184577
m6a_200 sperm	85	1.0	184577
m6a_200 sperm	86	1.0	184577
m6a_200 sperm	87	1.0	184577
m6a_200 sperm	88	0.9976183381461396	184577
m6a_200 sperm	89	0.9928593486729117	184577
m6a_200 sperm	90	0.9856406811249506	184577
m6a_200 sperm	91	0.9761107830336391	184577
m6a_200 sperm	92	0.9643281665646316	184577
m6a_200 sperm	93	0.9526029787026553	184577
m6a_200 sperm	94	0.9411064217101806	184577
m6a_200 sperm	95	0.9299544363598933	184577
m6a_200 sperm	96	0.9188891356994643	184577
m6a_200 sperm	97	0.9080134577981005	184577
m6a_200 sperm	98	0.8973674943248617	184577
m6a_200 sperm	99	0.886905735817572	184577
m6a_200 sperm	100	0.8764884032138348	184577
m6a_200 sperm	101	0.8662065154380015	184577
m6a_200 sperm	102	0.8558650319378905	184577
m6a_200 sperm	103	0.8456026482172753	184577
m6a_200 sperm	104	0.8351170514202745	184577
m6a_200 sperm	105	0.8245393521402992	184577
m6a_200 sperm	106	0.8139746555638027	184577
m6a_200 sperm	107	0.8034717218288302	184577
