term	n_term_in_bg	n_sig_in_bg	n_bg	overlap	expected	fold	p_value	genes	q_value
GO:systemdevelopment	3593	1341	19413	334	248.19517848864163	1.3457151022588665	9.66950911848459e-10	ACTL6A,ADAM22,ADGRB3,ADGRF5,ADGRG6,ADGRL2,ADGRL3,AGTPBP1,ALS2,ALX1,AMBRA1,AMOTL1,ANG,ANK2,ANKH,ANTXR2,AP3B1,APBA1,AREG,ARF6,ARHGAP24,ARL6,ATF2,ATP8A2,ATP8B1,AUTS2,B4GALT6,BBS7,BCL10,BCL2,BDNF,BICC1,BMPER,BMPR1A,BMPR1B,BMPR2,BRINP3,CACNB4,CAPRIN1,CAT,CAV1,CBLB,CCBE1,CCN2,CCNO,CD24,CD2AP,CD47,CDH2,CDK6,CDKL1,CFAP418,CHL1,CHODL,CHRM3,CITED2,CLN5,CMKLR1,CNTN4,CNTNAP2,COL14A1,COL25A1,COL4A3,COL4A4,COPS2,CPE,CRB1,CREB1,CRIM1,CRYAB,CTNNA2,CXCR4,DCTN1,DIAPH3,DIPK2A,DLG2,DMRT1,DMRT2,DMRTA1,DOCK10,DUT,DYNC2H1,EDNRB,EFHC1,EFNA5,EFNB2,EN2,ENPEP,EPHA4,EPHA7,EPM2A,EPYC,ERBB4,ETV2,EXT1,FAM114A1,FAT3,FAT4,FBXL17,FBXW7,FCGR2B,FGF12,FGF2,FLRT2,FN1,FOXO3,FOXP1,FST,FUT9,FYN,GAB1,GABRA4,GABRB1,GABRG1,GABRG2,GALNT3,GAP43,GATA6,GBA2,GCM2,GCNT1,GDF11,GDNF,GNB4,GPD2,GPR149,GPR37,GPR68,GRIN2A,GRIN2B,GRM7,GTPBP2,HAPLN1,HEY1,HMGA2,HMGB2,HOXA6,HOXA7,HOXD3,HPSE,HSPD1,IFNGR1,IMMP2L,INSC,INSIG2,ITGAV,ITM2B,JHY,KCNC2,KCNK2,KDM2B,KDM5B,KIAA1217,KITLG,KRIT1,LEPR,LHX8,LHX9,LMO4,LMX1A,LRRK2,MAB21L1,MAGI2,MAP2,MBD5,MDGA2,MDM2,MEF2A,MEF2C,MEOX2,MFSD8,MIB1,MME,MMP13,MMP16,MSH3,MSH6,MTMR2,MYEF2,MYF5,MYO7A,MYOC,NAA15,NAB1,NAP1L1,NAV2,NAV3,NCAM2,NCKAP1,NDUFS4,NECTIN3,NEDD4L,NELL2,NIPBL,NKIRAS1,NLGN1,NPR2,NPY1R,NPY2R,NRG3,NRIP1,NRL,NRSN1,NTNG1,NYAP2,OLFM3,OPN5,P2RY1,PCDH1,PCDH10,PCDH17,PCLO,PDCD10,PDGFC,PDLIM5,PGF,PGR,PHF14,PICALM,PIK3CA,PITX2,PKD2,PKHD1,PLPPR1,PLPPR4,PLS1,POU3F2,PPP1R9A,PPP3CA,PPT1,PRDM1,PRKAR1A,PRKG1,PRKRA,PRKX,PTBP2,PTEN,PTPRB,PTPRC,PTPRD,PTPRN,PTPRZ1,PTX3,RAPGEF5,RAPH1,RBPJ,RCN1,RFX6,RNF7,RO60,ROBO1,ROBO2,RSPO2,RTN4IP1,RUFY3,RXFP1,S1PR1,SEC24B,SEMA3A,SEMA3D,SEMA3E,SEMA4D,SEMA5A,SERPINI1,SFRP2,SGCB,SH3GL2,SH3RF1,SHOX2,SIRT1,SLC1A3,SLC7A11,SLIT2,SLITRK1,SLITRK3,SMAD4,SMYD2,SNTG2,SOS1,SOX2,SOX21,SPRY1,SPTBN1,ST8SIA4,SULF1,SYBU,SYCP2,SYNE2,TACC1,TBC1D32,TBCE,TBX4,TBXT,TCF21,TCF4,TENM3,TGFBR2,TGFBR3,THRB,THSD7A,TMEM106B,TMEM163,TNFRSF11A,TNFRSF11B,TNIK,TOP2B,TPBG,TRAF3IP2,TRPC4,TRPC6,TSPAN12,TYR,UCHL5,UGT8,UNC5C,UPF2,VASH2,VAV3,VEGFC,VPS4B,VPS54,WDPCP,WDR19,WDR47,WNT16,XRCC4,XRCC5,ZDHHC17,ZDHHC2,ZEB2,ZFAND5,ZFPM2,ZIC5,ZNF521	1.3537312765878425e-08
GO:development	6511	1341	19413	546	449.763096893834	1.2139724307547681	7.504045245252393e-09	ABCA1,ACIN1,ACO1,ACTL6A,ADAM22,ADAMTS3,ADGB,ADGRB3,ADGRF5,ADGRG6,ADGRL2,ADGRL3,AGTPBP1,ALS2,ALX1,AMBRA1,AMOTL1,ANG,ANK2,ANKH,ANO6,ANTXR2,AP3B1,APBA1,ARB2A,AREG,ARF6,ARHGAP18,ARHGAP24,ARHGAP5,ARL4A,ARL6,ASAH1,ATF2,ATP2B1,ATP8A2,ATP8B1,AUTS2,B4GALT6,BATF3,BBS12,BBS7,BCAP29,BCL10,BCL2,BDNF,BICC1,BMP2K,BMPER,BMPR1A,BMPR1B,BMPR2,BOLL,BRINP3,BRMS1L,BTF3,CACNB2,CACNB4,CADM1,CALCR,CALML5,CAND1,CAPRIN1,CAT,CAV1,CAV2,CBLB,CCBE1,CCDC38,CCDC62,CCER1,CCN2,CCNO,CD109,CD24,CD2AP,CD47,CD53,CD86,CDH2,CDH7,CDK13,CDK6,CDKL1,CDKL2,CDS1,CELF4,CFAP418,CFAP61,CHL1,CHODL,CHRM3,CITED2,CLN5,CMKLR1,CNN3,CNOT2,CNTN4,CNTNAP2,COL14A1,COL25A1,COL4A3,COL4A4,COL9A1,COPS2,COX7B2,CPE,CPM,CR2,CRB1,CREB1,CRIM1,CRYAB,CSMD3,CSRP2,CTNNA2,CTSC,CXCR4,CXXC4,CYLD,DAZL,DCTN1,DDAH1,DES,DHX36,DIAPH1,DIAPH3,DIPK2A,DLG2,DMRT1,DMRT2,DMRTA1,DMTN,DNAI4,DNAJB9,DOCK10,DPY19L2,DUT,DYNC2H1,EDNRB,EFHC1,EFNA5,EFNB2,EHF,ELAPOR2,ELAVL1,ELF1,ELF2,EMP1,EN2,ENPEP,EPC1,EPHA4,EPHA7,EPM2A,EPS8,EPYC,ERBB4,ERMN,ETV2,EXT1,EYA4,EZR,FAM114A1,FAM171A1,FAM3C,FAM83A,FAT3,FAT4,FBXL17,FBXO11,FBXW7,FCGR2B,FFAR4,FGF12,FGF2,FLRT2,FN1,FNIP1,FOXB2,FOXO3,FOXP1,FREM3,FSIP2,FST,FSTL5,FUT9,FYN,GAB1,GABRA4,GABRB1,GABRG1,GABRG2,GALNT3,GAP43,GATA6,GBA2,GCM2,GCNT1,GDF11,GDNF,GHSR,GNB4,GORASP2,GPD2,GPR149,GPR37,GPR68,GRIN2A,GRIN2B,GRM5,GRM7,GRSF1,GTF2I,GUCA1B,HACD1,HAPLN1,HERC6,HEY1,HMGA2,HMGB2,HNF4A,HNF4G,HNRNPH3,HOOK1,HOXA6,HOXA7,HOXD3,HPSE,HSPB2,HSPD1,IFNGR1,IGSF10,IL12RB2,IL1RL2,IMMP2L,INO80,INO80D,INSC,INSIG2,ITGAV,ITM2B,JAK1,JHY,KBTBD8,KCNC2,KCNK2,KDM1B,KDM2B,KDM4C,KDM5B,KIAA1217,KITLG,KRIT1,KRT76,KRT79,KRTAP6-1,LAMA4,LAMC2,LEPR,LHX8,LHX9,LIN7A,LMAN1,LMO4,LMX1A,LOC112267897,LRATD1,LRRC4C,LRRK2,LRRN1,MAB21L1,MAGI2,MAP2,MAP3K13,MBD5,MDGA2,MDM2,MECOM,MEF2A,MEF2C,MEGF10,MEI4,MEOX2,MFSD8,MIB1,MINPP1,MLLT3,MME,MMP13,MMP16,MMP25,MREG,MSH3,MSH6,MTA3,MTMR2,MYBL1,MYEF2,MYF5,MYF6,MYO10,MYO7A,MYOC,NAA15,NAB1,NAP1L1,NAV2,NAV3,NBR1,NCAM2,NCKAP1,NCOA2,NDUFS4,NECTIN3,NEDD4L,NELL2,NFKBIA,NHSL1,NIPBL,NKIRAS1,NLGN1,NLN,NOM1,NPR2,NPY1R,NPY2R,NRG3,NRIP1,NRL,NRSN1,NTNG1,NUDT21,NYAP2,OLFM3,OPN5,P2RY1,PACRG,PAXBP1,PCDH1,PCDH10,PCDH17,PCDH8,PCLO,PDCD10,PDE4D,PDGFC,PDGFD,PDLIM5,PDZRN3,PGF,PGR,PHF14,PHIP,PICALM,PIK3CA,PIP4K2A,PITX2,PKD2,PKHD1,PLAC8,PLK2,PLK4,PLPPR1,PLPPR4,PLPPR5,PLS1,POU3F2,PPP1R9A,PPP3CA,PPT1,PRDM1,PRDM14,PRICKLE2,PRKAA1,PRKAR1A,PRKG1,PRKG2,PRKRA,PRKX,PRMT6,PRPF40A,PSME4,PTBP2,PTEN,PTGS2,PTPRB,PTPRC,PTPRD,PTPRN,PTPRZ1,PTX3,RAPGEF5,RAPH1,RBM46,RBM47,RBPJ,RCN1,RETREG1,RFX6,RHBDD1,RHOBTB1,RICTOR,RIF1,RIMS1,RIMS2,RIT2,RNF7,RO60,ROBO1,ROBO2,RPL39L,RSPO2,RTN4IP1,RTTN,RUFY3,RUNX1T1,RXFP1,S1PR1,SASH1,SCN9A,SDC1,SEC24B,SEC24D,SEMA3A,SEMA3D,SEMA3E,SEMA4D,SEMA5A,SERPINB12,SERPINI1,SFRP2,SGCB,SH3D19,SH3GL2,SH3KBP1,SH3RF1,SHCBP1L,SHOX2,SIRT1,SLC12A2,SLC1A3,SLC39A10,SLC45A2,SLC7A11,SLIT2,SLITRK1,SLITRK3,SMAD4,SMYD2,SMYD3,SNTG2,SOS1,SOS2,SOX2,SOX21,SP8,SPATA16,SPP1,SPRY1,SPTBN1,ST8SIA4,ST8SIA6,STIM1,STOX2,SULF1,SYBU,SYCP1,SYCP2,SYNCRIP,SYNE1,SYNE2,SYT1,TACC1,TAF5L,TARBP2,TBC1D32,TBCE,TBL1XR1,TBX4,TBXT,TCF21,TCF24,TCF4,TDRP,TENM3,TENT5A,TET2,TGFBR2,TGFBR3,THEMIS,THRB,THSD7A,TM4SF1,TMEFF2,TMEM106B,TMEM163,TMEM178A,TMOD3,TNFRSF11A,TNFRSF11B,TNIK,TOP2B,TP53INP1,TPBG,TRAF3IP2,TRPC4,TRPC6,TSPAN12,TTLL4,TTPA,TYR,UCHL5,UGT8,UNC5C,UPF2,UTRN,VASH2,VAV3,VEGFC,VNN1,VPS4B,VPS54,WDPCP,WDR19,WDR47,WDR7,WNT16,WWC1,WWC2,XRCC4,XRCC5,YES1,YTHDC1,YTHDF1,ZBTB18,ZDHHC17,ZDHHC2,ZDHHC21,ZEB2,ZFAND5,ZFPM2,ZIC5,ZNF219,ZNF516,ZNF521	5.252831671676675e-08
GO:embryodevelopment	1072	1341	19413	100	74.05099675475196	1.3504207152158672	0.0012206325406401498	ACTL6A,ADAMTS3,ADGRF5,ALX1,AMBRA1,APBA1,ATF2,ATP8A2,BBS7,BCL10,BMPR1A,BMPR2,BTF3,CCDC62,CELF4,CITED2,CNOT2,COPS2,CXXC4,DIAPH3,DMRT2,DYNC2H1,EN2,ERBB4,ETV2,EXT1,FGF2,FN1,GATA6,GDNF,GRSF1,GTPBP2,HEY1,HMGA2,HOXA6,HOXA7,HOXD3,INSIG2,ITGAV,KBTBD8,KDM2B,KDM4C,KIAA1217,KITLG,LMAN1,LMO4,MEF2C,MEOX2,MIB1,MMP16,MYF5,MYF6,MYO7A,NCKAP1,NECTIN3,NIPBL,PCDH8,PITX2,PKD2,PLK4,PLS1,PRDM1,PRDM14,PRICKLE2,PRKAR1A,PRKRA,RBM46,RBPJ,RCN1,RICTOR,RSPO2,SEC24B,SEC24D,SFRP2,SHOX2,SMAD4,SOS1,SOX2,SP8,ST8SIA6,STOX2,SULF1,TBC1D32,TBL1XR1,TBX4,TBXT,TCF21,TGFBR2,TM4SF1,TTPA,VASH2,VEGFC,VPS54,WDPCP,WDR19,WNT16,YTHDC1,ZEB2,ZFAND5,ZFPM2	0.005696285189654033
GO:chromatinorganization	421	1341	19413	41	29.081594807603153	1.4098263960847455	0.016567523855112124	ACIN1,ACTL6A,ATR,CENPN,CHMP2B,CHMP4C,FBXW7,GTPBP2,HASPIN,HJURP,HMBOX1,HMGA2,HMGB2,HNRNPA2B1,INO80,INO80D,MAP10,MAP9,MEI4,MRE11,MSH3,MZT1,NCAPG,NIPBL,NPR2,PDS5A,POLDIP2,PRDM9,RIF1,RMDN1,SHOC1,SIRT1,SYCP1,SYCP2,TDRD3,TERB1,TERF1,TOP2B,UCHL5,VPS4B,XRCC5	0.057986333492892436
GO:centromere	257	1341	19413	22	17.752897542883634	1.2392343248113233	0.17515939026285737	ACTL6A,AHCTF1,CBX3,CENPN,CHMP2B,CHMP4C,DCTN1,DYNC1I1,DYNC1LI1,GTPBP2,HJURP,KDM4C,NCAPG,ORC2,PDS5A,PKHD1,PLK2,SMARCA5,SYCP1,SYCP2,TPR,ZNF330	0.4904462927360006
curated:Protamine	17	1341	19413	2	1.1743161798794621	1.7031188314251877	0.33025868686072396	CHD1,NAP1L1	0.6412499658738396
curated:Transcription	17	1341	19413	2	1.1743161798794621	1.7031188314251877	0.33025868686072396	ERCC5,TAF2	0.6412499658738396
GO:transcription	588	1341	19413	43	40.61752433936022	1.0586563484454183	0.37035512918296587	ANG,AP3B1,ATF2,COPS2,CREB1,E2F3,ELL2,ENY2,EPC1,FGF2,FOXO3,GCM2,GTF2I,GTF3C6,GTPBP2,HNF4A,HOXD3,ICE1,INO80,INTS12,INTS6,KDM1B,LIN9,MED4,MEF2A,NCOA2,NIFK,PAXBP1,PLAC8,POLR1D,RO60,RUNX1T1,SLC39A8,SMAD4,SMARCA5,SNAPC3,TAF2,TAF5L,TET2,TFB1M,THAP1,THRB,WWP2	0.6412499658738396
curated:Structural	37	1341	19413	3	2.5558646267964766	1.1737710865227644	0.47559068381482766	NCAPG,NIPBL,PDS5A	0.6412499658738396
curated:ZGA	24	1341	19413	2	1.6578581363004172	1.2063758389261745	0.5011121336780983	PRDM14,SOX2	0.6412499658738396
