Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library
prerank	Sensory Perception Of Chemical Stimulus (GO:0007606)	-0.35442162327390137	-1.5482953375021442	0.001	0.001	0.001	35/100	19.90%	OR5M9;OR5M3;OR5B17;OR5AK2;ITPR3;OR1Q1;OR8J3;SYT10;OR8I2;OR6C3;OR51M1;OR5D18;OR8U1;SLC24A4;OR1C1;OR51B5;OR8H1;OR5T2;OR5I1;OR2S2;C5AR1;OR10J5;OR6C2;OR5F1;OR10J1;OR2M4;OR5B12;OR8B8;OR1E2;OR8B3;OR51I1;OR6A2;OR5B2;OR5T1;OR8D1	GO_Biological_Process_2023
prerank	Regulation Of Neuron Apoptotic Process (GO:0043523)	0.5104831737134513	1.4400345090193822	0.004016064257028112	0.040556544695049046	0.23	45/105	24.84%	EPHA7;SNX6;PTPRZ1;BDNF;BCL2;MEF2C;SEMA3E;GDNF;RETREG1;TRIM2;KDM2B;FCGR2B;PPT1;FOXO3;TFAP2A;GRID2;POU4F1;GPRASP3;TGFB2;NDNF;KIF14;UNC5B;NTRK1;NF1;ISL1;TFAP2B;MT3;ATP13A2;NTF3;PRKN;TOX3;NFATC4;SRPK2;NGF;PPARGC1A;SOD2;NRBP2;CLU;MSH2;EGLN2;PRKCI;CNTFR;NTF4;CTNNB1;F2R	GO_Biological_Process_2023
prerank	KRAS Signaling Up	0.47351695213789635	1.3656989171929519	0.001001001001001001	0.040710770000834236	0.109	81/199	28.74%	ZNF639;ATG10;EVI5;PRKG2;PTBP2;DCBLD2;SATB1;CPE;AKAP12;IL1RL2;GUCY1A1;CMKLR1;TFPI;PRDM1;TSPAN13;GALNT3;CXCR4;ITGBL1;PTGS2;ANKH;EMP1;F13A1;SPP1;PLAU;SPRY2;SNAP91;SNAP25;IGF2;MAP4K1;ITGA2;ARG1;ETV1;ADGRL4;IL1B;EPB41L3;ST6GAL1;RELN;FBXO4;CFHR2;IL2RG;CSF2;RBM4;PTPRR;BPGM;PTCD2;CBR4;ERO1A;NGF;HDAC9;MAP3K1;RABGAP1L;NR1H4;MALL;HSD11B1;TNFAIP3;IRF8;ADGRA2;SEMA3B;TRAF1;HBEGF;GLRX;MYCN;RBP4;CA2;MAP7;GYPC;CAB39L;CCND2;NIN;WNT7A;MMD;TRIB1;BTBD3;ABCB1;PCP4;EREG;GPRC5B;DUSP6;CCL20;AVL9;TNNT2	MSigDB_Hallmark_2020
prerank	Modulation Of Chemical Synaptic Transmission (GO:0050804)	0.5215753783516326	1.4889394178053847	0.001	0.040908598034415794	0.07	41/121	17.78%	SLC12A2;SYT1;GRIK2;GRM7;SNCAIP;RIMS2;MEF2C;NRG3;NLGN1;RIMS1;LRRK2;GRM5;PPP3CA;CDH2;SLC4A8;PLPPR4;LRRC4C;MCTP1;PTEN;DRD2;TRIO;GRIK1;RIMS3;MCTP2;GRID2;AKAP9;DLGAP3;CPLX3;GRIA2;HOMER1;IL1B;APP;RELN;GRIK3;LRRC4;CLSTN2;SLC8A3;GRIA4;CACNA1B;GRIA3;CLSTN3	GO_Biological_Process_2023
prerank	Axonogenesis (GO:0007409)	0.5017440749242852	1.440164382398992	0.001	0.04698738569414826	0.229	85/180	28.48%	CTNNA2;EPHA7;CNTN4;SLITRK3;ROBO2;EFNB2;NELL2;BDNF;SLIT2;AUTS2;SEMA4D;NTNG1;ZDHHC17;SEMA3E;SEMA5A;EFNA5;SEMA3D;B4GALT6;EPHA4;PLPPR4;PTEN;SEMA3A;UNC5C;SOS1;FYN;SLITRK1;DRD2;RAB10;PTPRO;FEZ2;EPHA5;TRIO;DPYSL5;ANK3;POU4F2;EPHA6;NRCAM;NRXN1;POU4F1;PALLD;DOCK7;SLITRK6;APP;RELN;ISL1;EPHB1;DSCAML1;CNTN5;APLP2;DAG1;NELL1;SEMA6A;PAK3;SLITRK5;SEMA4F;ENAH;KALRN;CNTN1;CYFIP2;HSP90AB1;SEMA3B;SHTN1;NOTCH1;SEMA4C;NTNG2;FGFR2;DCC;CNTN6;SEMA3C;SEMA5B;WNT7A;NOTCH2;NIBAN2;EPHA3;EFNB1;CDK5R1;TUBB3;SEMA3F;SPG11;EFNA1;ARHGEF40;SEMA6D;PARD3;EMB;SEMA4B	GO_Biological_Process_2023
prerank	Axon Guidance (GO:0007411)	0.5017397138706002	1.4272348917696	0.002004008016032064	0.047315968810890556	0.289	73/142	29.66%	EPHA7;CNTN4;ROBO2;EFNB2;NELL2;BDNF;SLIT2;SEMA4D;GAP43;SEMA3E;SEMA5A;EFNA5;SEMA3D;GDNF;EPHA4;SEMA3A;UNC5C;SOS1;FYN;PTPRO;FEZ2;EPHA5;TRIO;DPYSL5;POU4F2;EPHA6;PTPRM;NRCAM;NRXN1;PALLD;ALCAM;NFIB;UNC5B;RELN;EPHB1;DSCAML1;CNTN5;PLXNC1;NCAM1;DAG1;NELL1;SEMA6A;SEMA4F;ENAH;KALRN;CNTN1;CYFIP2;SMO;SEMA3B;NOTCH1;NTN1;SEMA4C;DCC;CNTN6;SEMA3C;SEMA5B;RAC1;NOTCH2;NIBAN2;EPHA3;EFNB1;CDK5R1;TUBB3;SEMA3F;EFNA1;ARHGEF40;SEMA6D;EMB;SEMA4B;MYPN;FEZ1;LHX1;PLXNB2	GO_Biological_Process_2023
prerank	Regulation Of Cold-Induced Thermogenesis (GO:0120161)	0.49407847873124894	1.4189756708569434	0.002002002002002002	0.052682826384348055	0.355	51/141	23.33%	CAV1;LAMA4;PTH2R;RBPJ;ELOVL6;CMKLR1;LEPR;TSHR;CXCR4;GATM;PDGFC;FFAR4;ESRRG;ZNF516;DIO2;LGR4;FABP5;CD36;HDAC3;KDM3A;TLE3;DOCK7;LPIN1;IGF1R;HADHA;GRB10;IL18R1;IRF4;OMA1;NPR3;APLP2;ACADL;PLCL2;GHRL;DBH;ADCYAP1;PPARGC1B;DECR1;PPARGC1A;ARRDC3;NOVA1;ACSL1;IP6K1;NOTCH1;ADIPOR1;LNPEP;JAK2;GNAS;EHMT1;ADRB2;BSCL2	GO_Biological_Process_2023
prerank	Cellular Response To Organic Cyclic Compound (GO:0071407)	0.5063799615481307	1.4413868750741297	0.001	0.05500481374266027	0.224	63/150	24.77%	PKD2;NRIP1;P2RY1;GABRB1;TFPI;SSTR2;MEF2C;CREB1;DMTN;EZR;GABRG2;ABCB4;CCDC62;DIAPH1;TRPV1;SPP1;CTNNA1;WT1;H2AZ1;POU4F2;AKAP6;RAP1B;GNG2;RORA;CFTR;P2RX3;CASP7;POU4F1;AKAP9;SPIDR;RAMP3;IL1B;ADCY8;EPG5;ADCY2;CRHBP;STING1;SLC1A1;TIPARP;RAPGEF2;ATP1A1;KAT5;HCN1;CIB2;ARL6IP5;GOLPH3;AHR;NR1H4;RAPGEF3;ADCY6;LARP1;ATP1A3;GABRB2;CLU;NCOA4;NKX3-1;P2RY6;INPP5K;PDGFB;NR3C1;FAM210B;RORC;CTNNB1	GO_Biological_Process_2023
prerank	Neuron Projection Guidance (GO:0097485)	0.49906278484366384	1.4125157501244034	0.003003003003003003	0.05500481374266027	0.401	60/120	29.22%	EPHA7;CNTN4;ROBO2;EFNB2;NELL2;BDNF;SLIT2;SEMA4D;SEMA3E;SEMA5A;EFNA5;SEMA3D;EPHA4;SEMA3A;UNC5C;SOS1;FYN;PTPRO;FEZ2;EPHA5;TRIO;DPYSL5;POU4F2;EPHA6;NRCAM;NRXN1;PALLD;RELN;EPHB1;DSCAML1;CNTN5;DAG1;NELL1;SEMA6A;SEMA4F;ENAH;KALRN;CNTN1;CYFIP2;SEMA3B;NOTCH1;SEMA4C;DCC;CNTN6;SEMA3C;SEMA5B;NOTCH2;NIBAN2;EPHA3;EFNB1;CDK5R1;TUBB3;SEMA3F;EFNA1;ARHGEF40;SEMA6D;EMB;SEMA4B;MYPN;FEZ1	GO_Biological_Process_2023
prerank	UV Response Dn	0.48962603858199205	1.4014256841478268	0.002002002002002002	0.05706181696838242	0.057	45/144	13.88%	CAV1;SCHIP1;ATP2B1;SRI;NIPBL;ADGRL2;PDLIM5;BDNF;TGFBR3;TFPI;MAGI2;YTHDC1;DMAC2L;CDK13;NEK7;INPP4B;CITED2;DDAH1;SYNE1;MMP16;AMPH;TGFBR2;GCNT1;BMPR1A;PTEN;FYN;MET;RASA2;PTPRM;F3;PLPP3;COL5A2;AGGF1;ATRN;PTGFR;PLCB4;NFIB;COL11A1;IGF1R;DLG1;ICA1;APBB2;COL1A1;CDON;SCAF8	MSigDB_Hallmark_2020
