sample	label	n_pairs	n_strict	n_250	n_500	rate_strict	rate_250	rate_500
m6a_200	high	196660	14006	24428	32043	0.07121936336824977	0.1242143801484796	0.16293603172988916
PS00751	high	21323	1741	2878	3764	0.08164892369741594	0.13497162688177086	0.17652300332973783
PS00335	high	26195	1530	2865	3909	0.05840809314754724	0.10937201756060316	0.1492269517083413
PS00750	high	2206	110	195	256	0.04986400725294651	0.0883952855847688	0.11604714415231188
PS00752	high	6725	435	751	977	0.06468401486988848	0.1116728624535316	0.14527881040892193
PS00753	low	24029	905	1695	2288	0.037662824087560866	0.07053976445128803	0.09521827791418702
PS00754	low	21682	1026	2369	3376	0.04732035790056268	0.10926113827137718	0.15570519324785537
PS00755	low	25158	559	1129	1541	0.022219572303044756	0.04487638127037125	0.061252881787105494
FS215R1	repl	505	17	30	45	0.033663366336633666	0.0594059405940594	0.0891089108910891
FS215R2	repl	646	18	31	46	0.02786377708978328	0.047987616099071206	0.07120743034055728
FS215R3	repl	8005	167	343	486	0.020861961274203623	0.042848219862585885	0.060712054965646474
FS246	new	8867	406	804	1104	0.045787752340137586	0.09067328295928724	0.12450659749633472
FS247	new	8400	233	511	725	0.02773809523809524	0.060833333333333336	0.08630952380952381
FS248	new	8353	537	1039	1370	0.06428827966000239	0.12438644798276069	0.16401292948641208
PS00876	low	17768	564	1212	1704	0.031742458352093654	0.06821251688428635	0.09590274651058082
PS00877	low	18588	933	1813	2540	0.05019367333763718	0.09753604476006025	0.13664729933290296
PS00878	low	19397	1938	3994	5326	0.09991235758106924	0.20590813012321493	0.2745785430736712
PS00879	mid	10681	545	996	1366	0.05102518490778017	0.0932496957213744	0.12789064694317012
PS00880	mid	12973	739	1515	2081	0.0569644646573653	0.11678100670623603	0.16041008247899483
PS00881	mid	14401	563	1184	1679	0.03909450732588015	0.08221651274217068	0.1165891257551559
POOLED	all	452562	26972	49782	66626	0.05959846385688591	0.11000039773555889	0.1472196074791962
