tf	group	metric	n_peaks	mean	median	mean_diff	signed_effect	mw_u_stat	mw_pvalue	log10_pvalue	rank	q	category	ctx
PRDM9	pachytene	lacuna_at	4008	0.0965446963068349	0.0869565217391304	0.0089156749659115	0.0089156749659115	6110874.0	4.832016395211306e-09	8.315871600807098	2	2.348381269194348e-07	germline_late_active	promoter
KLF5	architectural	lacuna_at	4317	0.0959541911702993	0.0909090909090909	0.0083251698293758	0.0083251698293758	6572169.0	5.727759193156946e-09	8.242015248954655	3	2.348381269194348e-07	germline_late_active	promoter
NRF1	architectural	lacuna_at	4135	0.0950661570706555	0.088235294117647	0.0074371357297321	0.0074371357297321	6266575.0	5.435365195761417e-08	7.264771270864583	4	1.2016890792081488e-06	architectural_universal	promoter
WT1	sertoli	lacuna_at	4700	0.095388351618621	0.0869565217391304	0.0077593302776975	0.0077593302776975	7109324.0	5.861897947356823e-08	7.231961746676429	5	1.2016890792081488e-06	dev_gene_associated	promoter
KLF4	architectural	lacuna_at	4969	0.0948905927052816	0.0869565217391304	0.0072615713643582	0.0072615713643582	7502762.0	9.392665688611932e-08	7.027211135150369	6	1.5403971729323567e-06	germline_late_active	promoter
KLF6	other	lacuna_at	4784	0.0948027620131212	0.0869565217391304	0.0071737406721978	0.0071737406721978	7218684.5	1.4978738383306736e-07	6.82452476448983	7	2.0470942457185872e-06	architectural_universal	promoter
EGR4	other	lacuna_at	4716	0.0947867973655618	0.088235294117647	0.0071577760246383	0.0071577760246383	7112379.5	1.993534403039445e-07	6.700376265182791	8	2.2314431420994107e-06	germline_late_active	promoter
EGR1	other	lacuna_at	4907	0.0948675637967196	0.0869565217391304	0.0072385424557962	0.0072385424557962	7395349.5	2.177017699609181e-07	6.662138040039589	9	2.2314431420994107e-06	architectural_universal	promoter
TCFL5	meiotic_entry	lacuna_at	3749	0.0950939290009383	0.0869565217391304	0.0074649076600149	0.0074649076600149	5664884.0	3.112224736750781e-07	6.50692904972647	10	2.7387175250771474e-06	germline_late_active	promoter
SP1	architectural	lacuna_at	4633	0.0947938930887874	0.0869565217391304	0.0071648717478639	0.0071648717478639	6979823.0	3.339899420825789e-07	6.476266611523185	11	2.7387175250771474e-06	architectural_universal	promoter
CTCFL	architectural	lacuna_at	4797	0.0945891431759503	0.0869565217391304	0.0069601218350269	0.0069601218350269	7219948.0	4.157750172019686e-07	6.381141609803231	12	3.099413764596493e-06	germline_late_active	promoter
EGR3	other	lacuna_at	2879	0.0952605660766221	0.0869565217391304	0.0076315447356987	0.0076315447356987	4351634.5	1.228625273532822e-06	5.910580555235771	13	8.068819998364121e-06	architectural_universal	promoter
TBX5	other	lacuna_at	4081	0.0945809346624118	0.0869565217391304	0.0069519133214884	0.0069519133214884	6136470.0	1.2792031704723609e-06	5.893060472872715	14	8.068819998364121e-06	dev_gene_associated	promoter
TFAP2A	other	lacuna_at	2938	0.0948221619731913	0.0869565217391304	0.0071931406322678	0.0071931406322678	4435099.0	1.7090762121398229e-06	5.767238570530408	15	1.0010303528247533e-05	dev_gene_associated	promoter
HIF1A	other	lacuna_at	2668	0.0951777754293065	0.0869565217391304	0.007548754088383	0.007548754088383	4032355.0	1.961628429895404e-06	5.707383252882916	16	1.0723568750094876e-05	architectural_universal	promoter
EGR2	other	lacuna_at	3559	0.0946380209517717	0.0869565217391304	0.0070089996108483	0.0070089996108483	5353649.0	2.138994763145412e-06	5.669790278700952	17	1.0962348161120237e-05	architectural_universal	promoter
