bin	pseudotime_start	pseudotime_end	pseudotime_center	n_reads	protamine_q25	protamine_median	protamine_q75	nucleosome_eviction_q25	nucleosome_eviction_median	nucleosome_eviction_q75
2	0.05	0.1	0.07500000000000001	832	0.3461919531405406	0.39549160937239874	0.4403968451252153	0.2495224008097555	0.2631854971886273	0.2795633041104878
3	0.1	0.15000000000000002	0.125	5966	0.3610207883986159	0.4477359606783769	0.5169234933718176	0.2569959052295008	0.2741650044940048	0.2935200248943026
4	0.15000000000000002	0.2	0.17500000000000002	17344	0.32890935196369225	0.47900967711899756	0.588675507872048	0.2756446203080949	0.3031021493632563	0.3387170229623121
5	0.2	0.25	0.225	28702	0.47012419752939477	0.5961090960743685	0.6843747319833058	0.29966355186412275	0.34659220808912167	0.42838119628918236
6	0.25	0.30000000000000004	0.275	32877	0.6263610315186247	0.7101218865924749	0.7744548863478543	0.319632078183386	0.4024672320740169	0.5947253433208489
7	0.30000000000000004	0.35000000000000003	0.32500000000000007	29113	0.7174287881922892	0.7848725348725348	0.8382966768341628	0.33314447592067986	0.4096341905106845	0.6602870813397129
8	0.35000000000000003	0.4	0.375	18500	0.8199918402974298	0.8592782151299495	0.8958644203282973	0.3250677595063321	0.3920529050411652	0.5320799355278323
9	0.4	0.45	0.42500000000000004	11520	0.8771267003559187	0.904948004743722	0.930924558981524	0.33233508331431183	0.41195134384503157	0.572830270898395
10	0.45	0.5	0.475	7061	0.9160557426854236	0.9393393393393392	0.956728299948639	0.3532110091743119	0.47117516629711753	0.6895910780669146
11	0.5	0.55	0.525	4318	0.946037683963951	0.9628127791149252	0.9747560381158045	0.3972228984096073	0.5781125052972933	0.8740576791166226
12	0.55	0.6000000000000001	0.5750000000000001	2891	0.9621697335473668	0.9767889117315472	0.9862501652846982	0.4624391692750577	0.8067632850241546	1.0
13	0.6000000000000001	0.65	0.625	1760	0.9753700215431819	0.9862405852907111	0.9933189350764204	0.6225359747683816	1.0	1.0
14	0.65	0.7000000000000001	0.675	1386	0.9828882426626099	0.9909546496464448	0.9955035214635657	1.0	1.0	1.0
15	0.7000000000000001	0.75	0.7250000000000001	1068	0.9913786639963362	0.9966153281170187	0.9985488536747299	1.0	1.0	1.0
16	0.75	0.8	0.775	1370	0.9976065199293812	0.99925241360167	0.9996358888254735	1.0	1.0	1.0
17	0.8	0.8500000000000001	0.8250000000000001	453	0.9987406334613688	0.999393304285478	0.9996663886572144	1.0	1.0	1.0
20	0.9500000000000001	1.0	0.9750000000000001	7969	1.0	1.0	1.0	1.0	1.0	1.0
