panel_id	composite_id	layout_row	layout_col	assay	label	matrix_id	matrix_n_rows	width_bp	x_start_bp	x_end_bp	x_label	n_rows	center_bp	show_cluster_bar	view	selection	sort_rule	matrix_sha256	panel_sha256
tss_depleted	figure3_tss_heatmaps	0	0	Fiber-seq	Pooled lacuna-depleted TSSs	tss_depleted	1000	4000	-2000	2000	bp from TSS	1000	0	0	full	q < 0.20; 1,000 pooled spanning reads	increasing fraction of bases in footprints >200 bp	c732ca5a25ebdc584cb6510e751a7f815b994024cc8c96b34ca9de8f48466250	c732ca5a25ebdc584cb6510e751a7f815b994024cc8c96b34ca9de8f48466250
tss_enriched	figure3_tss_heatmaps	0	1	Fiber-seq	Pooled lacuna-enriched TSSs	tss_enriched	1000	4000	-2000	2000	bp from TSS	1000	0	0	full	q < 0.20; 1,000 pooled spanning reads	increasing fraction of bases in footprints >200 bp	fe9315ba7fbd49e323721293a01c943f9c82ba0814ac042703b2f7bc1b67ad02	fe9315ba7fbd49e323721293a01c943f9c82ba0814ac042703b2f7bc1b67ad02
tss_asxl2	figure3_tss_heatmaps	1	0	Fiber-seq	ASXL2 TSS	tss_asxl2	23	4000	-2000	2000	bp from TSS	23	0	0	full	all available reads spanning the TSS window	increasing fraction of bases in footprints >200 bp	b04bdccbab3e2f984989152e54e6df26cd4afc9cb9a4bbc2b70de91943446157	b04bdccbab3e2f984989152e54e6df26cd4afc9cb9a4bbc2b70de91943446157
tss_ino80d	figure3_tss_heatmaps	1	1	Fiber-seq	INO80D TSS	tss_ino80d	25	4000	-2000	2000	bp from TSS	25	0	0	full	all available reads spanning the TSS window	increasing fraction of bases in footprints >200 bp	d20f8b8bb3cc2bb0c01624a90afc2e462547e40189ed7aebc199db01b789f389	d20f8b8bb3cc2bb0c01624a90afc2e462547e40189ed7aebc199db01b789f389
mouse_wt	mouse_prm2_heatmaps	0	0	Fiber-seq	WT	mouse_wt	500	5000	0	5000	bp from read start	500		0	full	500 reads sampled with seed 42	increasing whole-read protected fraction	419c55171bc1a701040a0f93cf6efbc44508a8e6c9ff08de9767ccc15e5084ff	419c55171bc1a701040a0f93cf6efbc44508a8e6c9ff08de9767ccc15e5084ff
mouse_prm2_ko	mouse_prm2_heatmaps	0	1	Fiber-seq	Prm2 KO	mouse_prm2_ko	500	5000	0	5000	bp from read start	500		0	full	500 reads sampled with seed 42	increasing whole-read protected fraction	07f1bacbeaf8a1cd8b5ba1567e638dc75f72d08e075c53c4590aac58935641a0	07f1bacbeaf8a1cd8b5ba1567e638dc75f72d08e075c53c4590aac58935641a0
motility_2pct	motility_heatmaps	0	0	Fiber-seq	2.0% motility	motility_2pct	100	5000	0	5000	bp from read start	100		0	full	100 reads sampled with seed 42 from the most-accessible quartile	increasing whole-read protected fraction	128dd2c958a77a8b3373cd45deea70046f67612fc14a6471b9f559ffbe4fb45e	128dd2c958a77a8b3373cd45deea70046f67612fc14a6471b9f559ffbe4fb45e
motility_1p2pct	motility_heatmaps	0	1	Fiber-seq	1.2% motility	motility_1p2pct	100	5000	0	5000	bp from read start	100		0	full	100 reads sampled with seed 42 from the most-accessible quartile	increasing whole-read protected fraction	2c0535eef66fd2a4306c5d71a2375665bfb0b2992a90f4ce5f81f2aa3feaca1f	2c0535eef66fd2a4306c5d71a2375665bfb0b2992a90f4ce5f81f2aa3feaca1f
daf_chr5_donor1_all_clusters	dafseq_chr5_heatmaps	0	0	DAF-seq	CHR5 · donor 1 · all clusters	daf_chr5	3468	4654	0	4654	bp from amplicon window start	1395		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	2fa24288d05d7ecb12ce4c739e8e8160f972705032e0107b8a854a00addb47a0	2cd5ed84c9d52c4eb427f7030a2b05194019bc61e2690a152f7e02f81319e5af
daf_chr5_donor2_all_clusters	dafseq_chr5_heatmaps	0	1	DAF-seq	CHR5 · donor 2 · all clusters	daf_chr5	3468	4654	0	4654	bp from amplicon window start	2068		1	all_clusters	all informative reads spanning the amplicon window	joint lacuna-pattern cluster, then increasing protected fraction	2fa24288d05d7ecb12ce4c739e8e8160f972705032e0107b8a854a00addb47a0	59fa8cc138aff2e2e4b37d27c01e0feacf1f7672ab82b71cf0bc99aaaf1ab311
