transcript_id	gene_id	biotype	chrom	tss	strand	n_reads	n_lacuna	mean_frac_prot	frac_lacuna	p_value	p_global	log2_or	q_value
NM_138423.4	GOLM2	mRNA	chr15	44288718	+	38	20	0.87736845	0.5263157894736842	3.0974870392388125e-10	0.1100003977355588	2.258419925751682	4.732228540698919e-06
NM_177974.3	GOLM2	mRNA	chr15	44288718	+	38	20	0.87736845	0.5263157894736842	3.0974870392388125e-10	0.1100003977355588	2.258419925751682	4.732228540698919e-06
NM_001377363.1	NKIRAS1	mRNA	chr3	23917054	-	32	18	0.6693594	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001377365.1	NKIRAS1	mRNA	chr3	23917054	-	32	18	0.6693594	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001377364.1	NKIRAS1	mRNA	chr3	23917054	-	32	18	0.6693594	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001253382.2	RPL15	mRNA	chr3	23917097	+	32	18	0.6679219	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001253380.2	RPL15	mRNA	chr3	23917097	+	32	18	0.6679219	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001377361.1	NKIRAS1	mRNA	chr3	23917054	-	32	18	0.6693594	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001377362.1	NKIRAS1	mRNA	chr3	23917054	-	32	18	0.6693594	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001253383.3	RPL15	mRNA	chr3	23917131	+	33	18	0.6466818	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
XM_047447998.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377351.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377369.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377371.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_020345.4	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_002948.5	RPL15	mRNA	chr3	23917131	+	33	18	0.6466818	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377370.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377353.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377358.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377352.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377355.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377356.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377354.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377357.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377372.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001377366.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
