transcript_id	gene_id	biotype	chrom	tss	strand	n_reads	n_lacuna	mean_frac_prot	frac_lacuna	p_value	p_global	log2_or	q_value
NM_138423.4	GOLM2	mRNA	chr15	44288718	+	38	20	0.87736845	0.5263157894736842	3.0974870392388125e-10	0.1100003977355588	2.258419925751682	4.732228540698919e-06
NM_001377363.1	NKIRAS1	mRNA	chr3	23917054	-	32	18	0.6693594	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001253382.2	RPL15	mRNA	chr3	23917097	+	32	18	0.6679219	0.5625	5.635719615736742e-10	0.1100003977355588	2.3543443455738884	4.732228540698919e-06
NM_001377368.1	NKIRAS1	mRNA	chr3	23916989	-	33	18	0.6815	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
NM_001253383.3	RPL15	mRNA	chr3	23917131	+	33	18	0.6466818	0.5454545454545454	1.1112778469128818e-09	0.1100003977355588	2.3099502262955847	4.732228540698919e-06
XM_047447999.1	NKIRAS1	mRNA	chr3	23916725	-	33	17	0.7020606	0.5151515151515151	1.0251082676467946e-08	0.1100003977355588	2.2274880662591965	4.092456446879552e-05
XM_024453460.2	NKIRAS1	mRNA	chr3	23916704	-	33	17	0.7033333	0.5151515151515151	1.0251082676467946e-08	0.1100003977355588	2.2274880662591965	4.092456446879552e-05
NM_001305145.1	TMEFF2	mRNA	chr2	192194932	-	42	19	0.64530957	0.4523809523809524	2.1782806664731755e-08	0.1100003977355588	2.0400294354207253	7.323092984805649e-05
NM_024665.7	TBL1XR1	mRNA	chr3	177197481	-	39	18	0.6881026	0.46153846153846156	3.467255539437478e-08	0.1100003977355588	2.0689421272726882	9.309824210422399e-05
NM_020981.4	B3GALT1	mRNA	chr2	167293000	+	43	19	0.70730233	0.4418604651162791	3.497988760168415e-08	0.1100003977355588	2.0060821035733194	9.309824210422399e-05
NM_001329570.2	NIPSNAP3A	mRNA	chr9	104747682	+	49	20	0.76987755	0.40816326530612246	7.790087058089792e-08	0.1100003977355588	1.8916375958735419	0.00019513557093294687
XM_047449112.1	CBLB	mRNA	chr3	105868552	-	49	20	0.77569383	0.40816326530612246	7.790087058089792e-08	0.1100003977355588	1.8916375958735419	0.00019513557093294687
XM_005251282.5	SNX16	mRNA	chr8	81842184	-	30	15	0.8239833	0.5	1.273623951827817e-07	0.1100003977355588	2.184419344452175	0.0002757741245253482
NM_032869.4	NUDCD1	mRNA	chr8	109334086	-	42	18	0.73975	0.42857142857142855	1.4175583593211839e-07	0.1100003977355588	1.9620269235966254	0.0002762169892204932
XM_047441052.1	PAXBP1	mRNA	chr21	32771754	-	34	16	0.84400004	0.47058823529411764	1.4270198502205502e-07	0.1100003977355588	2.0969565033821724	0.0002762169892204932
XM_047420213.1	PCLO	mRNA	chr7	83162883	-	39	17	0.73479486	0.4358974358974359	2.3329493859647611e-07	0.1100003977355588	1.986479967264588	0.0004082693383649099
NM_001321789.1	CBLB	mRNA	chr3	105868318	-	48	19	0.7751667	0.3958333333333333	2.919239346770103e-07	0.1100003977355588	1.8473843579339173	0.0005039672240394965
NM_001375950.1	GULP1	mRNA	chr2	188291873	+	45	18	0.7403222	0.4	4.959170253646652e-07	0.1100003977355588	1.8624912502861601	0.0005759445082487394
